fid,username,reactions_received,total_casts,reaction_cast_ratio
259919,"<a href=""https://warpcast.com/xmcncnjsk"" target=""_blank"">xmcncnjsk</a>",27,1038,0.02601156069364162
513391,"<a href=""https://warpcast.com/kimxuann"" target=""_blank"">kimxuann</a>",25,961,0.026014568158168574
507461,"<a href=""https://warpcast.com/hoadazzz"" target=""_blank"">hoadazzz</a>",19,730,0.026027397260273973
255800,"<a href=""https://warpcast.com/maakqokdjd"" target=""_blank"">maakqokdjd</a>",27,1030,0.02621359223300971
266095,"<a href=""https://warpcast.com/koiooopo"" target=""_blank"">koiooopo</a>",25,952,0.026260504201680673
420028,"<a href=""https://warpcast.com/rivervillage"" target=""_blank"">rivervillage</a>",3,114,0.02631578947368421
508109,"<a href=""https://warpcast.com/vailoaaa"" target=""_blank"">vailoaaa</a>",23,859,0.02677532013969732
245831,"<a href=""https://warpcast.com/mr-vibranium"" target=""_blank"">mr-vibranium</a>",2,74,0.02702702702702703
543570,"<a href=""https://warpcast.com/dladnwls7777"" target=""_blank"">dladnwls7777</a>",2,74,0.02702702702702703
258219,"<a href=""https://warpcast.com/lintangdamar31"" target=""_blank"">lintangdamar31</a>",1,37,0.02702702702702703
426021,"<a href=""https://warpcast.com/goodriell01"" target=""_blank"">goodriell01</a>",1,37,0.02702702702702703
515757,"<a href=""https://warpcast.com/sadia1"" target=""_blank"">sadia1</a>",5,184,0.02717391304347826
508437,"<a href=""https://warpcast.com/gooooood"" target=""_blank"">gooooood</a>",21,770,0.02727272727272727
573273,"<a href=""https://warpcast.com/yutou"" target=""_blank"">yutou</a>",3,110,0.02727272727272727
272018,"<a href=""https://warpcast.com/vgggert"" target=""_blank"">vgggert</a>",27,989,0.027300303336703743
507510,"<a href=""https://warpcast.com/loloodao194"" target=""_blank"">loloodao194</a>",22,798,0.02756892230576441
252232,"<a href=""https://warpcast.com/xmajdj"" target=""_blank"">xmajdj</a>",26,939,0.027689030883919063
566397,"<a href=""https://warpcast.com/chucknorris"" target=""_blank"">chucknorris</a>",1,36,0.027777777777777776
530662,"<a href=""https://warpcast.com/shiamair"" target=""_blank"">shiamair</a>",1,36,0.027777777777777776
552371,"<a href=""https://warpcast.com/laoxue"" target=""_blank"">laoxue</a>",1,36,0.027777777777777776
536775,"<a href=""https://warpcast.com/avabyte"" target=""_blank"">avabyte</a>",1,36,0.027777777777777776
508484,"<a href=""https://warpcast.com/lamphu1048"" target=""_blank"">lamphu1048</a>",23,825,0.027878787878787878
507398,"<a href=""https://warpcast.com/linhthach11"" target=""_blank"">linhthach11</a>",21,751,0.02796271637816245
267398,"<a href=""https://warpcast.com/maowowi"" target=""_blank"">maowowi</a>",23,815,0.02822085889570552
266952,"<a href=""https://warpcast.com/cmakaka"" target=""_blank"">cmakaka</a>",25,884,0.02828054298642534
508386,"<a href=""https://warpcast.com/akdemy"" target=""_blank"">akdemy</a>",22,776,0.028350515463917526
507430,"<a href=""https://warpcast.com/bontaolao"" target=""_blank"">bontaolao</a>",24,840,0.02857142857142857
350661,"<a href=""https://warpcast.com/abrar18-20rules"" target=""_blank"">abrar18-20rules</a>",1,35,0.02857142857142857
525462,"<a href=""https://warpcast.com/balasuriya"" target=""_blank"">balasuriya</a>",1,35,0.02857142857142857
506998,"<a href=""https://warpcast.com/xiaopanglu11"" target=""_blank"">xiaopanglu11</a>",23,796,0.028894472361809045
266218,"<a href=""https://warpcast.com/spapwpwpw"" target=""_blank"">spapwpwpw</a>",30,1026,0.029239766081871343
