fid,username,reactions_received,total_casts,reaction_cast_ratio
471860,"<a href=""https://warpcast.com/nyla"" target=""_blank"">nyla</a>",6,384,0.015625
471825,"<a href=""https://warpcast.com/junipera"" target=""_blank"">junipera</a>",6,384,0.015625
512912,"<a href=""https://warpcast.com/andien"" target=""_blank"">andien</a>",6,384,0.015625
467189,"<a href=""https://warpcast.com/sebastiann"" target=""_blank"">sebastiann</a>",6,383,0.015665796344647518
532321,"<a href=""https://warpcast.com/btclord"" target=""_blank"">btclord</a>",1,60,0.016666666666666666
532340,"<a href=""https://warpcast.com/crystalchain"" target=""_blank"">crystalchain</a>",1,60,0.016666666666666666
532336,"<a href=""https://warpcast.com/monalisan"" target=""_blank"">monalisan</a>",1,60,0.016666666666666666
532326,"<a href=""https://warpcast.com/peepeep"" target=""_blank"">peepeep</a>",1,60,0.016666666666666666
532331,"<a href=""https://warpcast.com/dogelove"" target=""_blank"">dogelove</a>",1,60,0.016666666666666666
499400,"<a href=""https://warpcast.com/simoncrypto"" target=""_blank"">simoncrypto</a>",1,59,0.01694915254237288
403376,"<a href=""https://warpcast.com/pengx"" target=""_blank"">pengx</a>",1,59,0.01694915254237288
530242,"<a href=""https://warpcast.com/realnamehidden"" target=""_blank"">realnamehidden</a>",2,117,0.017094017094017096
308380,"<a href=""https://warpcast.com/envyy"" target=""_blank"">envyy</a>",2,117,0.017094017094017096
266590,"<a href=""https://warpcast.com/nenwfjjfuc"" target=""_blank"">nenwfjjfuc</a>",17,992,0.017137096774193547
545148,"<a href=""https://warpcast.com/islombek"" target=""_blank"">islombek</a>",1,58,0.017241379310344827
467874,"<a href=""https://warpcast.com/basedghost"" target=""_blank"">basedghost</a>",1,58,0.017241379310344827
513069,"<a href=""https://warpcast.com/kimloan"" target=""_blank"">kimloan</a>",6,345,0.017391304347826087
266675,"<a href=""https://warpcast.com/mxsmwmwk"" target=""_blank"">mxsmwmwk</a>",15,858,0.017482517482517484
436006,"<a href=""https://warpcast.com/shamad71"" target=""_blank"">shamad71</a>",1,57,0.017543859649122806
267170,"<a href=""https://warpcast.com/yyyyyooop124"" target=""_blank"">yyyyyooop124</a>",15,853,0.017584994138335287
254700,"<a href=""https://warpcast.com/kiaamochi"" target=""_blank"">kiaamochi</a>",17,965,0.017616580310880828
512880,"<a href=""https://warpcast.com/humann"" target=""_blank"">humann</a>",5,280,0.017857142857142856
271600,"<a href=""https://warpcast.com/opqpqpqp"" target=""_blank"">opqpqpqp</a>",18,966,0.018633540372670808
530516,"<a href=""https://warpcast.com/adistraction"" target=""_blank"">adistraction</a>",2,107,0.018691588785046728
306608,"<a href=""https://warpcast.com/fomosale.eth"" target=""_blank"">fomosale.eth</a>",2,106,0.018867924528301886
508374,"<a href=""https://warpcast.com/mathien01"" target=""_blank"">mathien01</a>",15,793,0.018915510718789406
512839,"<a href=""https://warpcast.com/meladen"" target=""_blank"">meladen</a>",4,211,0.018957345971563982
271538,"<a href=""https://warpcast.com/bvfffghhhhh"" target=""_blank"">bvfffghhhhh</a>",17,888,0.019144144144144143
516291,"<a href=""https://warpcast.com/bakihanma"" target=""_blank"">bakihanma</a>",1,52,0.019230769230769232
516264,"<a href=""https://warpcast.com/devilcry"" target=""_blank"">devilcry</a>",1,52,0.019230769230769232
266305,"<a href=""https://warpcast.com/pqpqlalaa"" target=""_blank"">pqpqlalaa</a>",19,983,0.019328585961342827
522969,"<a href=""https://warpcast.com/manas89"" target=""_blank"">manas89</a>",1,51,0.0196078431372549
